gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	average
EML5	0.471494186	1.612737485	2.476563403	0.4750803	0.819486758	1.403466537	0.548786816	1.317515573	1.056354173	2.117118995	0.593054716	1.020703017	1.419880955	1.013405382	0.365498554	0.693205243	1.399415051	0.697653477	1.104667202	1.500774717	6.981042135	0.773732018	0.460389766	1.050724174	0.672583143	0.819824939	1.350766275	0.884991188	1.221243305	2.124972591	0.720576592	0.59997014	0.974207533	0.947087112	1.729651935	0.461656506	0.699020136	0.552367652	0.959796099	0.911304217	0.861220685	0.695586668	1.029841788	1.113452222	0.573093836	2.000186766	13.50918622	0.677602448	0.404374853	1.581587022	3.373001257	1.074530468	1.138242959	1.415748626
KCNA6	0.051758402	0.012796936	11.15276423	0.024534349	0.030345273	0.008196174	0.121928161	0.039203906	0.06286561	0.580800266	0	0.009519574	0.414931702	0.036978178	0.040179857	0.029367211	0.010664133	0.016767153	0.003944449	0	0.025444254	0.063715143	0.011356022	0.0347392	0.044861364	0.019423235	0.042737195	0	0.69075875	0.018834632	0.004739685	0.003730409	0.040111932	0.010203633	0.144731246	0.033103968	0.033799996	0.023400714	0.004150534	0.042467523	0.139142724	0.0035482	0.030511818	0.02325687	0	0.111928294	5.245661467	0.005163617	0.01306984	0.028813224	0.041805678	0.021092571	0.003733644	0.369954395
ZFPM2	0.908499374	0.397793844	26.06998598	1.451553635	0.48200846	0.397566861	1.343211513	0.174093823	2.863271553	6.476995916	1.005684704	1.21618529	0.114596939	0.454735307	6.527421792	0.225712643	0.743132755	0.366564107	0.29103868	0.172885043	0.733958448	1.316126163	0.993063082	1.35755206	4.003697882	0.112792734	0.296841924	0.524655747	5.666018928	0.842828202	1.036191599	2.895179201	2.563081679	0.181246164	5.779622318	2.513635299	3.751525148	0.245135573	0.947089768	3.236305165	1.487420887	0.186654915	0.909614359	2.862637603	1.027563269	1.088760697	0.190733201	0.733766691	0.50003335	1.055108949	0.309412621	0.528374186	0.374965121	1.923293041
C14orf45	1.791923388	1.653494829	2.368827809	3.828374717	3.217404912	3.060544234	1.969295438	1.987438744	5.423889344	4.374107656	2.392894466	3.025040212	5.414283367	2.891922096	1.778051157	2.977536568	2.927245155	2.581125961	2.331281626	1.48471296	3.118118532	5.181029863	9.473184798	7.430986231	3.8594984	1.843234008	2.140136951	3.189223649	3.703796225	4.774099978	2.766126114	2.080240511	3.80437047	4.005706231	3.532910023	3.134204631	3.009051951	2.526909494	2.052790161	1.895113821	4.969052902	3.259698317	7.291539266	5.14736361	0.666791744	5.45671752	12.91155453	1.506768559	0.888819396	4.709815135	4.893424509	2.764495681	5.830647361	3.609373872
AKD1	5.134327458	5.151658722	10.8765215	7.17257541	3.547019045	4.164188343	2.392487534	4.714839515	6.449271408	11.28883584	2.258817788	6.411255363	6.348060471	11.09450218	1.770472423	3.767289496	3.654048523	5.943349821	3.3689108	3.802376676	4.562026558	10.72932228	8.306173614	4.749605327	15.36768982	2.655579212	3.943494927	6.185334164	1.976559048	18.46286176	7.632213376	4.470617433	4.643825715	7.31975335	3.979648214	5.571730885	2.457615937	1.698440186	3.110567907	1.967994525	3.315702225	3.419769647	5.786908031	6.182790428	1.948511432	8.402725229	18.06404164	4.628083846	1.213348826	21.36027738	11.9019253	7.049322693	2.861155284	6.136536312
ME2	19.22138991	24.68038564	28.02377998	32.49625872	25.16790114	23.92000892	82.86851509	16.31312021	40.83430446	20.00168856	31.46637114	40.01121061	38.91765274	22.83938344	14.84661218	26.62922808	24.48455562	19.0298341	23.81036035	26.82968251	12.44355221	23.78006706	14.99579446	19.93021333	32.86376883	40.45501104	10.06269737	25.60087699	21.3028113	26.07974271	19.89961927	63.01240487	22.64876638	21.15394681	12.08504143	10.69711182	35.75230959	20.2129964	27.44970109	18.79172975	12.95967604	30.68339549	18.93274245	16.2872236	29.73587191	14.66064268	84.97684609	15.41510484	27.39495059	29.26473132	17.87764002	20.0647193	22.33042385	26.45649763
TMEFF1	6.797593371	2.702668975	88.87762337	3.479276596	3.367997127	4.408081767	9.443896525	1.404819138	2.790961195	12.77716545	3.603851153	4.226278775	3.113122201	3.470961903	5.863778606	8.269672175	2.624218054	1.361168498	10.70712038	0.931495834	10.916024	2.044253807	4.100487001	2.46763231	3.869492339	1.484400902	5.746249451	2.069976074	9.807781026	8.391624632	3.366743828	5.744440851	3.603493685	1.132492898	5.625962432	2.963340626	4.089475303	3.151301093	2.221718772	5.626740529	5.403870459	2.920958312	2.505117033	8.61895375	4.681407194	1.676659537	20.37158488	3.301088369	2.243611619	3.874095646	1.422926608	3.683247603	2.306399069	6.257647221
KATNAL1	3.277545122	3.08912528	4.905884264	3.169066735	2.612701365	1.942666526	9.118996649	1.192701073	2.316741122	3.009692634	1.25679473	1.968618908	2.289112731	2.062477452	4.654089964	3.249665834	1.386801025	0.820172567	6.776584701	0.89783971	6.206219386	1.901889348	1.249464361	1.085883363	3.312746975	0.728020701	1.118903591	0.942768615	5.220274949	2.018629881	0.840669161	2.655524536	3.779679301	0.768961968	3.581571802	0.940357175	2.462951579	2.036495272	2.825846752	4.216048566	5.878549153	1.821692693	2.530519288	4.29767545	2.923721191	1.203953604	7.565381521	1.030857283	0.850690045	1.230656832	0.96151112	2.438178853	2.353439139	2.697679469
ESYT2	53.78061069	40.34071687	26.63201828	37.46194764	47.98970921	38.41059092	41.19394535	27.28767401	43.49158158	87.03276054	35.12204718	41.61541338	57.25950768	38.93346589	47.48672138	35.00146364	53.56576218	51.10033105	50.84946851	42.50975876	44.50140159	58.68463125	38.79034434	65.64705806	74.12352063	39.65638531	21.65166824	58.77994732	104.8589268	24.36793777	35.29270218	48.27693877	63.00164591	34.80692391	110.7636281	27.28981585	62.72997611	38.92614444	46.0756979	51.29027848	53.12109462	68.69603177	52.522811	53.5687874	54.11270228	60.86385423	212.3344107	22.93019041	34.15913491	51.42733398	42.02904895	35.36218418	54.6267054	51.74217656
PHIP	17.77476088	8.633016908	15.06372124	5.684832855	16.86991368	13.46781181	13.34331643	7.822250215	11.25838537	10.0516356	12.55516523	16.49615907	8.836816723	13.63952025	11.82346985	5.325740423	13.93884571	6.06958296	8.081725191	14.21349495	11.21704296	13.00636586	17.12215226	8.473973194	12.57848812	10.60017492	8.830522051	12.4172605	13.26053067	21.03080905	12.98430247	23.62399918	10.22553383	10.69552956	7.834076223	4.512919777	5.178514661	3.589394372	6.506559868	10.76525201	11.03749296	9.732291801	6.682982522	14.52044968	7.952707254	15.87543833	36.89156165	4.933377184	5.350545712	12.86999083	8.709013876	18.92875033	22.896615	11.92046762
