gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	average
NEURL	21.72608181	0.143284023	0.259177012	17.44900236	24.75915985	21.47340662	2.839030272	2.633770439	15.12388655	13.1678755	0.397870872	10.90659503
CAPS2	1.487357053	0.424033354	0.393757059	1.50394249	1.322252043	1.793484191	0.85401813	0.932199225	1.284196947	1.597206606	0.779764993	1.124746554
DCAF5	45.3169901	16.18497377	18.15058888	37.44762609	41.89586694	30.96941837	29.12724187	25.27005517	36.7994246	32.72929596	23.38688103	30.66166934
FAM38A	97.26632701	18.61055231	40.12624547	96.44638872	92.85698944	110.2079816	27.83897001	60.69807065	102.7928377	75.460499	33.55063325	68.71413592
EIF5	89.5266018	15.76552511	44.8314528	103.586559	82.51565786	90.93934002	48.49548199	54.2367309	50.46017821	51.81251375	40.25475546	61.12952699
DCAF10	15.29469836	5.033431562	7.053024869	13.38692424	14.22237117	11.952493	8.291170711	12.42535911	13.55437291	11.99483144	10.70540659	11.26491672
CASP9	14.37921279	39.89344268	64.43027226	14.42078358	12.29810284	10.34209835	14.41225367	19.63991253	13.00723332	17.02368404	34.54282477	23.12634735
PPP1R3E	4.33404143	1.610764442	1.502750119	3.303427911	3.579088914	3.334728329	3.259071942	2.596424623	2.858197803	5.016230165	2.091164449	3.04417183
CNOT4	17.86945534	6.333594203	9.300683522	13.96734052	15.34647136	11.06856062	10.26096879	11.86486812	16.3205155	13.50807188	9.230884338	12.27921947
SEC31B	27.4139501	21.59330881	19.11754171	28.2279168	28.22112005	31.82544908	25.91486824	21.31480794	28.78320685	33.78443043	14.3916659	25.50802417
RPRD1A	125.5455281	26.89053479	26.27353691	110.1921033	126.8495902	111.6306857	28.05848618	94.90427913	88.07823172	75.70719909	53.19340341	78.84759805
MYSM1	5.400130623	0.671721104	2.033766186	4.924837325	3.830185948	5.726498531	2.030504616	4.050022747	3.142259681	3.581050309	2.087612576	3.407144513
TPCN2	27.07511144	7.336562497	8.740642746	20.0024838	21.96483218	23.2914322	8.98092265	12.76106556	14.44916975	21.37388579	12.9063781	16.26204425
WWOX	15.54175313	12.7710809	9.187804272	15.24059959	17.59886847	18.16279054	18.76872469	18.84401421	19.62758723	15.355101	8.306241186	15.40041502
ALDH5A1	4.390009103	16.10704866	18.24102899	3.596586916	4.21860255	2.607348231	22.34268212	11.22161851	3.310383673	8.23252138	27.68417494	11.08654592
NBEA	33.65756025	2.708789411	3.372171619	43.3173022	43.06738535	50.331186	3.056812348	13.75396967	42.29548772	28.69921638	4.319548879	24.4163118
ANKHD1	55.62448936	34.77635328	44.10468093	54.3465596	48.06501917	56.74901303	36.78392094	46.89097335	43.38747188	56.65635296	37.55372877	46.81259666
ZNF614	7.477720515	2.338678485	2.244916279	4.909202921	5.553359183	6.498842813	1.857711366	5.534814205	4.970042552	5.044121951	3.618137289	4.549777051
GSTM3	49.15848832	44.84852658	8.021638552	40.79449468	41.68724081	80.92867523	90.60595543	74.0309952	46.29307211	35.94017259	23.55556107	48.71498369
REEP3	49.06675142	17.11849811	22.51965162	48.8138969	50.25688246	60.27882562	18.56376975	45.81660298	61.871367	41.3361775	18.55841098	39.47280312
EIF5A2	5.973742784	2.279758715	1.030543722	7.013147031	5.567987935	6.955037284	1.601019723	5.861738787	7.302711134	4.508032639	3.078069185	4.651980813
FAM124A	6.241226026	0.538733856	1.534202144	4.899869835	6.080838434	6.208120438	1.026866847	3.372978233	5.829616345	3.782591392	0.823393634	3.667130653
AKR1D1	0.913476643	0.379913729	0.534014119	0.791423015	0.849943235	0.585760275	0.503965674	0.631623947	0.758777071	0.65286115	0.510787285	0.646595104
SMAD9	13.30060008	0.885758072	0.377759587	9.803159871	8.965592478	4.652220108	0.415033844	5.119084309	9.060762688	7.200827016	1.488726128	5.569956744
ARL10	4.362493821	1.37685128	1.168014822	3.724814804	3.083360099	2.756004275	2.380881794	2.218616297	4.177247569	4.505352279	1.442241266	2.835988937
SETBP1	27.27128579	1.932535723	2.671132295	27.27073967	30.13642255	20.01137368	3.121028027	15.76939755	30.83256128	20.41198479	2.987060145	16.58322923
PSMC6	95.87564134	53.04185056	76.40189745	78.59459068	86.82748789	87.92890568	73.31412746	94.08258243	78.69150246	88.34509028	73.04674987	80.55912965
SLC25A46	26.19188875	6.475288425	12.75451276	27.07169956	27.80678099	26.16988177	17.08305593	24.2748557	24.05887677	21.25777982	14.87292388	20.72886767
SLC25A36	21.50847392	5.46751889	6.748506544	18.36592261	21.01292775	17.61069716	9.831021677	16.54784084	17.30842243	20.38119354	12.84921563	15.23924918
MTX3	8.343861214	2.527514974	2.276610389	9.183708435	8.138783463	6.772945387	3.723133514	5.096905322	7.692195675	6.205262706	4.493367965	5.859480822
ZNF577	5.865957005	1.727370158	1.561210886	6.087736736	5.846531694	4.600108789	1.371810539	3.623471815	3.565894985	5.885478405	1.922499605	3.823460965
AHI1	11.56897576	3.527118301	3.657266633	12.17091719	11.06454896	11.89001697	3.394821736	9.256296612	8.846207308	8.441844526	5.386585393	8.109509035
GOLGA7	56.27645888	32.11768984	31.02624552	47.2219785	52.59967224	54.54823461	32.87050739	63.99347882	50.24605997	53.18533632	35.40331708	46.31717993
MTMR7	3.178223487	1.242951476	1.086277167	2.60068722	3.260192284	3.474873868	1.887490839	1.634805691	3.090284785	3.024209035	1.032083051	2.3192799
ARHGEF37	44.09731356	1.961881157	3.654512689	22.45518861	33.73402408	29.09089772	9.532043472	6.421494671	28.69192817	23.48731851	4.071074404	18.83615246
C12orf51	73.45332688	12.09913612	22.46749215	68.86700194	61.18133783	67.90718553	23.97492955	33.21203507	77.20856993	48.1544396	29.46351079	47.08990594
PTPN21	24.21574604	2.035422784	4.33989035	25.01495103	29.12483273	22.83836548	4.283914085	9.580971907	17.03028758	12.28764651	5.254420675	14.18240447
SRRM2	135.0343464	71.11798634	80.8287228	174.8629733	142.2560537	170.4007643	84.87363431	104.5925928	111.0616328	146.9680183	80.05199855	118.3680658
PRPF39	13.636011	5.688102707	7.083909765	13.51802497	13.47510286	12.10808936	9.704457136	11.30786263	10.05066885	11.22764463	10.26667174	10.73332233
DYNC1I1	79.43417309	3.357164282	0.651390919	63.52525027	54.51812765	59.40864314	5.439654628	11.02281274	31.79106726	33.25464043	4.705745505	31.55533363
DHX57	13.69799005	7.48991781	5.436026631	12.66850865	14.66346032	10.57922469	7.558176346	15.18499037	12.65990018	12.91021653	10.4913937	11.21270957
ARHGAP5	30.67800717	6.295637693	10.27913738	30.67401501	26.36543998	29.66216659	15.71957021	25.95472207	25.50214633	18.23323651	13.93949904	21.20941618
TWSG1	65.69377378	21.70216486	13.5907691	61.15187039	67.45545442	52.86108742	11.98227671	100.0229613	89.27361627	59.88462264	37.11117389	52.79361552
EIF2C3	6.775972221	2.225904724	3.294238983	9.929315302	6.246463977	9.294277595	2.392435148	5.507620623	6.210598221	3.957348667	3.773486901	5.418878396
SOCS5	21.94276977	5.37712696	5.02649987	16.78587702	19.92541872	18.97078991	4.482903623	13.84903963	20.32533379	18.98482117	11.34376958	14.27403182
ZNF519	5.623033131	0.389768678	0.594866383	3.10335901	3.929542238	5.270753464	1.600742038	3.988979333	3.759831198	4.811974364	1.616084277	3.153539465
NEDD4	10.63632777	2.412396594	2.236883859	8.523306087	10.68678108	9.979266102	2.278825904	8.123231758	11.21050918	8.224755279	5.102754099	7.219548883
SOCS7	4.383444644	0.655351546	1.187381517	4.355157819	3.317744483	4.147072574	1.061132628	1.893744984	3.311643393	2.799878963	2.533854592	2.695127922
CERK	32.5525643	6.149963489	9.167193137	20.98949134	18.20200704	25.86548722	7.408470227	22.47523135	24.69202689	21.94231761	14.01296532	18.49615617
RNGTT	10.03564893	5.043604938	7.13773604	10.01866602	10.06188492	8.946692374	5.533720816	10.15655798	11.75356328	13.33404214	7.949373189	9.08831733
BRPF3	17.06102557	4.587377611	4.640177904	19.58881668	14.57992147	18.99548688	7.737057822	11.98607437	18.20199906	14.07459911	11.75848002	13.01918332
NECAB1	26.32370019	1.350655003	0.71234823	27.97785297	25.07761954	26.57869241	3.232788126	5.780366819	27.06065595	16.89004401	1.327226837	14.75563183
HBS1L	15.14365055	7.19111279	8.207105163	15.90660786	14.87787012	16.01202622	9.061469135	15.81380234	16.5001563	12.69480076	10.30953217	12.88346667
JMY	33.89106125	4.531986986	6.162419062	26.70511243	30.3145062	18.76008192	7.948885547	15.29706364	23.7655835	22.08991676	9.560471206	18.09337168
