mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda
MED22,hsa-mir-25,0.402842352,0.002783891,0.056368019,-0.778365623,0.004774902,0.093205374,targetprofiler-NO,targetscan-Yes,miRanda-NO
CCDC107,hsa-mir-185,0.403140987,0.002761857,0.056043941,-0.793280413,0.003571803,0.084540055,targetprofiler-NO,targetscan-NO,miRanda-Yes
WDR17,hsa-mir-505,0.403163331,0.002760214,0.056021128,-0.769179164,0.005650685,0.098614705,targetprofiler-NO,targetscan-Yes,miRanda-NO
PDLIM5,hsa-mir-21,0.403288167,0.002751054,0.055883459,-0.857622822,0.000736096,0.04984479,targetprofiler-NO,targetscan-Yes,miRanda-NO
PTP4A1,hsa-mir-216a,0.40331166,0.002749333,0.055857917,-0.827742752,0.001657745,0.065663483,targetprofiler-NO,targetscan-Yes,miRanda-NO
IARS,hsa-let-7i,0.403428819,0.002740765,0.055728452,-0.804075382,0.002853147,0.078557951,targetprofiler-NO,targetscan-NO,miRanda-Yes
PREPL,hsa-mir-653,0.403826793,0.002711838,0.055299211,-0.847199042,0.000995776,0.055307932,targetprofiler-NO,targetscan-Yes,miRanda-NO
BCAT1,hsa-let-7i,0.403892025,0.002707123,0.055229738,-0.781216684,0.004524716,0.091540673,targetprofiler-Yes,targetscan-NO,miRanda-NO
PPP2R5C,hsa-mir-495,0.404240207,0.002682076,0.054852699,-0.780820569,0.004558884,0.091785124,targetprofiler-NO,targetscan-Yes,miRanda-NO
QKI,hsa-mir-653,0.40440265,0.002670461,0.054677925,-0.894194498,0.000204448,0.031288949,targetprofiler-NO,targetscan-Yes,miRanda-NO
DENND5B,hsa-mir-345,0.404757941,0.002645212,0.054296145,-0.838651759,0.00125571,0.059821073,targetprofiler-NO,targetscan-Yes,miRanda-NO
RNGTT,hsa-mir-3653,0.405237225,0.002611487,0.053784603,-0.814831772,0.002249933,0.072578115,targetprofiler-NO,targetscan-Yes,miRanda-NO
UBXN7,hsa-mir-136,0.405378845,0.002601595,0.053631395,-0.824568265,0.001790999,0.067310598,targetprofiler-NO,targetscan-Yes,miRanda-NO
DYSF,hsa-mir-140,0.405551153,0.002589604,0.053449473,-0.78472031,0.004230679,0.089503375,targetprofiler-NO,targetscan-Yes,miRanda-NO
TMEM170B,hsa-mir-382,0.405881549,0.00256675,0.053094197,-0.893653226,0.000209029,0.031551738,targetprofiler-NO,targetscan-Yes,miRanda-NO
GSTM3,hsa-mir-676,0.406117498,0.002550538,0.052842984,-0.81747227,0.00211769,0.071142187,targetprofiler-NO,targetscan-Yes,miRanda-NO
TNPO2,hsa-mir-1226,0.406150144,0.002548302,0.052809956,-0.785774974,0.004145001,0.088881183,targetprofiler-Yes,targetscan-Yes,miRanda-NO
ZNF605,hsa-mir-1180,0.406152945,0.00254811,0.052807332,-0.771648069,0.005404584,0.09713389,targetprofiler-NO,targetscan-Yes,miRanda-NO
PPP1CB,hsa-mir-1266,0.406276945,0.002539634,0.05267814,-0.821814355,0.001912949,0.068771385,targetprofiler-NO,targetscan-Yes,miRanda-NO
TUBE1,hsa-mir-381,0.406359053,0.002534035,0.052588912,-0.772811234,0.005291415,0.09646508,targetprofiler-NO,targetscan-NO,miRanda-Yes
PREPL,hsa-mir-93,0.406728372,0.002508987,0.05220506,-0.768786873,0.005690534,0.098854186,targetprofiler-NO,targetscan-Yes,miRanda-NO
CDV3,hsa-mir-939,0.406778603,0.002505597,0.052153717,-0.855770629,0.000777997,0.050835819,targetprofiler-NO,targetscan-Yes,miRanda-NO
THUMPD1,hsa-mir-484,0.406963512,0.002493153,0.051960323,-0.866386692,0.000560429,0.045221026,targetprofiler-Yes,targetscan-NO,miRanda-NO
SLC25A46,hsa-mir-377,0.407034582,0.002488385,0.051888018,-0.774320033,0.005147228,0.095572868,targetprofiler-NO,targetscan-Yes,miRanda-NO
