mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda
DHX57,hsa-mir-221,0.415335824,0.001984122,0.043785457,-0.818907592,0.002048286,0.070345839,targetprofiler-Yes,targetscan-NO,miRanda-NO
UHRF1BP1L,hsa-mir-939,0.41537233,0.001982122,0.043751893,-0.911821714,9.24E-05,0.022720175,targetprofiler-NO,targetscan-Yes,miRanda-NO
C3orf15,hsa-mir-653,0.415501711,0.001975048,0.043632433,-0.860715283,0.000669958,0.048204586,targetprofiler-Yes,targetscan-NO,miRanda-NO
LRRC58,hsa-mir-136,0.415531029,0.001973448,0.043606,-0.877342765,0.000387677,0.039672726,targetprofiler-NO,targetscan-Yes,miRanda-NO
ME2,hsa-mir-345,0.415600111,0.001969683,0.043545317,-0.803128779,0.002911447,0.079079371,targetprofiler-NO,targetscan-Yes,miRanda-NO
ULK2,hsa-mir-136,0.415904209,0.001953185,0.043268633,-0.818647264,0.002060746,0.070505036,targetprofiler-NO,targetscan-Yes,miRanda-NO
SDC2,hsa-mir-590,0.416099508,0.001942655,0.043095369,-0.789091315,0.003883936,0.086969713,targetprofiler-NO,targetscan-Yes,miRanda-NO
KIAA1279,hsa-mir-345,0.416184198,0.001938104,0.043020017,-0.788220447,0.003951279,0.087452259,targetprofiler-NO,targetscan-Yes,miRanda-NO
RPS6KL1,hsa-mir-939,0.416293518,0.001932244,0.042922342,-0.802135922,0.002973541,0.079663153,targetprofiler-NO,targetscan-Yes,miRanda-NO
PPP2R5C,hsa-mir-382,0.416407228,0.001926165,0.042822852,-0.924228245,4.76E-05,0.017065573,targetprofiler-NO,targetscan-Yes,miRanda-NO
SMAD5,hsa-mir-136,0.417146821,0.001887042,0.042169598,-0.807277619,0.002662343,0.076797168,targetprofiler-NO,targetscan-Yes,miRanda-NO
DDX6,hsa-mir-381,0.417370328,0.001875359,0.041973345,-0.886420073,0.000278044,0.035117996,targetprofiler-Yes,targetscan-NO,miRanda-NO
TECPR2,hsa-mir-345,0.418206275,0.001832233,0.041233843,-0.772921484,0.005280779,0.096392305,targetprofiler-Yes,targetscan-Yes,miRanda-NO
NFYB,hsa-mir-25,0.418319805,0.001826444,0.041137541,-0.775008727,0.005082385,0.095160542,targetprofiler-NO,targetscan-Yes,miRanda-NO
SPTB,hsa-mir-651,0.418641672,0.001810122,0.040859649,-0.769518505,0.00561638,0.098402849,targetprofiler-NO,targetscan-Yes,miRanda-NO
PCNX,hsa-mir-382,0.419805452,0.001752187,0.039860462,-0.837506998,0.001294043,0.060429262,targetprofiler-NO,targetscan-Yes,miRanda-NO
DENND5B,hsa-mir-93,0.420239536,0.001731004,0.039495071,-0.799824299,0.003121921,0.08086833,targetprofiler-NO,targetscan-Yes,miRanda-NO
ULK2,hsa-mir-495,0.420315683,0.001727312,0.039429776,-0.767189928,0.005854888,0.099813828,targetprofiler-NO,targetscan-Yes,miRanda-NO
C9orf25,hsa-mir-15b,0.420972083,0.001695774,0.038883161,-0.80496512,0.002799145,0.078051142,targetprofiler-Yes,targetscan-NO,miRanda-NO
FAM149A,hsa-mir-140,0.421011704,0.001693887,0.038851701,-0.811510998,0.002424873,0.074444136,targetprofiler-NO,targetscan-Yes,miRanda-NO
UHRF1BP1L,hsa-mir-653,0.421541015,0.001668856,0.03842063,-0.865734747,0.000572278,0.045587306,targetprofiler-Yes,targetscan-NO,miRanda-NO
TMEM56,hsa-mir-299,0.421775066,0.001657893,0.03822984,-0.819061445,0.002040949,0.070253564,targetprofiler-NO,targetscan-Yes,miRanda-NO
USP45,hsa-mir-130a,0.421976702,0.001648501,0.038064729,-0.828528185,0.001625953,0.065253717,targetprofiler-NO,targetscan-Yes,miRanda-Yes
TAB3,hsa-mir-1262,0.422232869,0.001636636,0.037858094,-0.774395272,0.005140115,0.095525158,targetprofiler-NO,targetscan-Yes,miRanda-NO
ACAT1,hsa-mir-100,0.422718128,0.00161437,0.037469742,-0.787644101,0.003996319,0.087797581,targetprofiler-NO,targetscan-NO,miRanda-Yes
IFT74,hsa-mir-590,0.42293206,0.00160464,0.037299487,-0.781571243,0.004494294,0.091332246,targetprofiler-NO,targetscan-Yes,miRanda-NO
MYSM1,hsa-mir-331,0.424315422,0.001542975,0.036214208,-0.874863407,0.000422634,0.040935024,targetprofiler-NO,targetscan-Yes,miRanda-NO
WRN,hsa-mir-136,0.42467177,0.001527437,0.035934429,-0.833605049,0.001431328,0.06247773,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAP1L1,hsa-let-7i,0.425150504,0.001506784,0.035561571,-0.868669548,0.000520397,0.044061016,targetprofiler-Yes,targetscan-NO,miRanda-NO
FUBP3,hsa-mir-140,0.425539473,0.001490187,0.035267385,-0.780824011,0.004558586,0.091783402,targetprofiler-NO,targetscan-Yes,miRanda-NO
KIAA1737,hsa-mir-382,0.425649574,0.001485518,0.035187492,-0.777155899,0.004884082,0.093905067,targetprofiler-NO,targetscan-Yes,miRanda-NO
WDR35,hsa-mir-25,0.425795208,0.001479364,0.035078326,-0.774084105,0.005169581,0.095719944,targetprofiler-NO,targetscan-Yes,miRanda-NO
DNAJC15,hsa-mir-3653,0.425802933,0.001479038,0.035072108,-0.800454995,0.003080905,0.080521225,targetprofiler-NO,targetscan-Yes,miRanda-NO
GZF1,hsa-mir-939,0.42586127,0.001476579,0.035024731,-0.861735395,0.000649158,0.047667407,targetprofiler-NO,targetscan-Yes,miRanda-NO
EIF5A2,hsa-mir-155,0.426397056,0.00145417,0.034617679,-0.767126435,0.005861494,0.099854551,targetprofiler-Yes,targetscan-Yes,miRanda-NO
SMCR8,hsa-mir-136,0.426790936,0.00143789,0.034319596,-0.768126194,0.005758113,0.099248782,targetprofiler-NO,targetscan-Yes,miRanda-NO
NDUFA6,hsa-mir-590,0.427227455,0.001420039,0.033997596,-0.802047893,0.002979094,0.079706706,targetprofiler-NO,targetscan-Yes,miRanda-NO
PACRGL,hsa-mir-186,0.427247337,0.00141923,0.033982226,-0.915027958,7.86E-05,0.021201577,targetprofiler-NO,targetscan-Yes,miRanda-NO
PRSS23,hsa-mir-221,0.428071753,0.001386072,0.033374881,-0.776505562,0.004943531,0.094289476,targetprofiler-NO,targetscan-Yes,miRanda-NO
PARVB,hsa-let-7i,0.428489913,0.00136952,0.033068908,-0.834343886,0.001404533,0.062122355,targetprofiler-NO,targetscan-NO,miRanda-Yes
RSF1,hsa-mir-382,0.428700957,0.001361233,0.032919134,-0.817904366,0.002096615,0.070906402,targetprofiler-NO,targetscan-NO,miRanda-Yes
BNC2,hsa-mir-221,0.428836059,0.001355952,0.032823741,-0.821833562,0.001912077,0.068760272,targetprofiler-NO,targetscan-Yes,miRanda-NO
DDX6,hsa-mir-495,0.428917329,0.001352784,0.032765538,-0.812672452,0.002362575,0.073804261,targetprofiler-NO,targetscan-Yes,miRanda-NO
SMG5,hsa-mir-939,0.429620902,0.001325634,0.032264526,-0.809888993,0.002513911,0.075375305,targetprofiler-NO,targetscan-Yes,miRanda-Yes
IPO8,hsa-mir-381,0.430383442,0.00129676,0.031728598,-0.768412918,0.005728712,0.099081818,targetprofiler-Yes,targetscan-NO,miRanda-NO
IQSEC1,hsa-mir-3653,0.430414439,0.001295598,0.031706012,-0.813880177,0.002299068,0.073120618,targetprofiler-NO,targetscan-Yes,miRanda-NO
KLHDC5,hsa-mir-382,0.430531229,0.001291229,0.03162296,-0.830919878,0.00153195,0.063954587,targetprofiler-Yes,targetscan-NO,miRanda-NO
PRKAA2,hsa-mir-382,0.432241075,0.001228762,0.030442774,-0.888795934,0.000253712,0.033987046,targetprofiler-NO,targetscan-Yes,miRanda-NO
MLH3,hsa-mir-495,0.432315592,0.001226102,0.030392993,-0.769861545,0.005581858,0.098197042,targetprofiler-NO,targetscan-Yes,miRanda-NO
KHDRBS3,hsa-mir-629,0.432459095,0.001220994,0.030293759,-0.811479008,0.002426606,0.074464296,targetprofiler-NO,targetscan-NO,miRanda-Yes
RPS6KL1,hsa-mir-1266,0.432719668,0.001211769,0.030120909,-0.792124419,0.003656009,0.085221218,targetprofiler-NO,targetscan-Yes,miRanda-NO
SLC2A13,hsa-mir-136,0.432794714,0.001209123,0.030072166,-0.835952655,0.001347489,0.061272472,targetprofiler-NO,targetscan-Yes,miRanda-NO
KIF27,hsa-mir-186,0.43279671,0.001209053,0.030070893,-0.780113188,0.004620373,0.092200595,targetprofiler-Yes,targetscan-Yes,miRanda-NO
MSN,hsa-mir-221,0.432971222,0.001202922,0.029955811,-0.830298423,0.001555973,0.064292558,targetprofiler-NO,targetscan-Yes,miRanda-Yes
MLH3,hsa-mir-136,0.432992083,0.00120219,0.029942528,-0.843466818,0.001103725,0.057237585,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZDHHC17,hsa-mir-93,0.433194758,0.001195108,0.029807237,-0.813294587,0.0023297,0.073452418,targetprofiler-NO,targetscan-Yes,miRanda-NO
NBEA,hsa-mir-106b,0.433542516,0.001183044,0.029579325,-0.80716414,0.002668938,0.076850641,targetprofiler-Yes,targetscan-NO,miRanda-NO
C17orf39,hsa-mir-382,0.433725551,0.001176738,0.029457124,-0.840344053,0.00120061,0.058922577,targetprofiler-Yes,targetscan-NO,miRanda-NO
ZNF614,hsa-mir-27b,0.434055727,0.001165439,0.02924225,-0.775863573,0.005002738,0.09466341,targetprofiler-Yes,targetscan-NO,miRanda-NO
EIF2C3,hsa-mir-382,0.434479035,0.001151095,0.028967104,-0.77633594,0.004959124,0.094387518,targetprofiler-Yes,targetscan-NO,miRanda-NO
KLF12,hsa-mir-340,0.435033889,0.001132533,0.028609948,-0.767347959,0.00583847,0.099724489,targetprofiler-NO,targetscan-Yes,miRanda-NO
HINT3,hsa-mir-653,0.435379441,0.001121109,0.028390041,-0.848714855,0.000954282,0.054520648,targetprofiler-NO,targetscan-Yes,miRanda-NO
C1orf116,hsa-mir-143,0.43569809,0.001110667,0.028186183,-0.934346356,2.53E-05,0.012946764,targetprofiler-Yes,targetscan-Yes,miRanda-NO
PTGER3,hsa-mir-25,0.435788605,0.001107716,0.028127232,-0.776189618,0.004972604,0.094476532,targetprofiler-NO,targetscan-Yes,miRanda-NO
RERG,hsa-mir-136,0.435814426,0.001106876,0.028111201,-0.807425396,0.002653773,0.076711955,targetprofiler-NO,targetscan-Yes,miRanda-NO
TAOK1,hsa-mir-186,0.435863828,0.00110527,0.028080238,-0.817713743,0.002105893,0.070999087,targetprofiler-NO,targetscan-Yes,miRanda-NO
KCTD7,hsa-mir-25,0.435950173,0.001102467,0.028025656,-0.768822565,0.0056869,0.098833039,targetprofiler-NO,targetscan-Yes,miRanda-NO
MAPRE2,hsa-mir-382,0.436122455,0.001096895,0.027919831,-0.936366419,2.21E-05,0.012132785,targetprofiler-Yes,targetscan-NO,miRanda-NO
MLH3,hsa-mir-487a,0.436345745,0.00108971,0.027783065,-0.775794993,0.005009094,0.094697259,targetprofiler-NO,targetscan-NO,miRanda-Yes
HINT3,hsa-mir-590,0.436401131,0.001087934,0.027748572,-0.826483628,0.001709678,0.066290156,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZC3H13,hsa-mir-382,0.436680391,0.001079021,0.027572193,-0.773228046,0.005251289,0.096208589,targetprofiler-NO,targetscan-Yes,miRanda-NO
TBC1D19,hsa-mir-382,0.437160915,0.001063838,0.027272368,-0.858467558,0.000717561,0.049386481,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
RERG,hsa-mir-382,0.438328198,0.001027749,0.026559055,-0.876776005,0.000395467,0.039977262,targetprofiler-NO,targetscan-Yes,miRanda-Yes
RNF180,hsa-mir-487a,0.438495058,0.001022681,0.026457329,-0.789377134,0.003862021,0.086801531,targetprofiler-NO,targetscan-Yes,miRanda-NO
PRKAA2,hsa-mir-299,0.438583162,0.001020015,0.026403227,-0.821334272,0.001934827,0.0690355,targetprofiler-NO,targetscan-Yes,miRanda-NO
AHI1,hsa-mir-93,0.438583511,0.001020004,0.026403032,-0.804833483,0.002807086,0.0781112,targetprofiler-NO,targetscan-NO,miRanda-Yes
OSBPL8,hsa-mir-221,0.439595064,0.000989829,0.025800232,-0.851102798,0.00089157,0.053275856,targetprofiler-NO,targetscan-Yes,miRanda-NO
IPO8,hsa-mir-136,0.439660009,0.00098792,0.025762209,-0.817185383,0.00213177,0.071273674,targetprofiler-NO,targetscan-Yes,miRanda-NO
TIPRL,hsa-mir-484,0.440002633,0.0009779,0.025561425,-0.913764553,8.39E-05,0.021775594,targetprofiler-NO,targetscan-NO,miRanda-Yes
FGD6,hsa-mir-27a,0.440435268,0.000965378,0.025310251,-0.832420198,0.001475097,0.063138468,targetprofiler-NO,targetscan-NO,miRanda-Yes
CAMTA1,hsa-mir-345,0.440610104,0.000960358,0.025210843,-0.831959332,0.00149239,0.06337855,targetprofiler-Yes,targetscan-NO,miRanda-NO
SEC31B,hsa-mir-29c,0.440884688,0.000952523,0.025051007,-0.792909122,0.00359869,0.084755274,targetprofiler-Yes,targetscan-NO,miRanda-NO
JRK,hsa-mir-382,0.441093654,0.000946598,0.02492938,-0.772912328,0.005281662,0.096396761,targetprofiler-NO,targetscan-Yes,miRanda-NO
KDM3B,hsa-mir-136,0.441691564,0.000929829,0.024587216,-0.850391448,0.000909917,0.053657503,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTMR9,hsa-mir-93,0.442075493,0.000919202,0.024369504,-0.77324628,0.005249539,0.096197306,targetprofiler-Yes,targetscan-Yes,miRanda-NO
ACTR1A,hsa-mir-106b,0.442610387,0.000904579,0.024070266,-0.892409267,0.00021985,0.032170445,targetprofiler-Yes,targetscan-NO,miRanda-NO
USP13,hsa-mir-25,0.442868013,0.000897611,0.023928346,-0.827538771,0.001666077,0.065768203,targetprofiler-NO,targetscan-Yes,miRanda-NO
ACCN3,hsa-mir-484,0.443092748,0.000891571,0.023805463,-0.802384931,0.002957876,0.079527518,targetprofiler-Yes,targetscan-NO,miRanda-NO
GZF1,hsa-mir-1266,0.443525727,0.000880039,0.023565382,-0.852881562,0.000846913,0.052316247,targetprofiler-Yes,targetscan-Yes,miRanda-NO
SETD5,hsa-mir-25,0.444077886,0.000865527,0.023262258,-0.823915211,0.001819377,0.067668006,targetprofiler-NO,targetscan-Yes,miRanda-Yes
TMEM56,hsa-mir-1266,0.444150908,0.000863624,0.023222942,-0.8704904,0.000490049,0.043158564,targetprofiler-Yes,targetscan-Yes,miRanda-NO
HNRNPUL2,hsa-mir-299,0.44436413,0.000858089,0.023106613,-0.788415854,0.003936094,0.087339879,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAP1L1,hsa-mir-221,0.444461714,0.000855566,0.023052759,-0.821400597,0.001931793,0.069004172,targetprofiler-NO,targetscan-Yes,miRanda-NO
WDR17,hsa-mir-186,0.444896218,0.000844415,0.02282021,-0.863460055,0.000615106,0.046782561,targetprofiler-NO,targetscan-Yes,miRanda-NO
HNRNPUL2,hsa-mir-136,0.445104647,0.000839113,0.022707515,-0.768131312,0.005757587,0.099244765,targetprofiler-NO,targetscan-Yes,miRanda-NO
XPO7,hsa-mir-136,0.445215757,0.000836298,0.022648525,-0.790163165,0.003802223,0.086313703,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTERFD3,hsa-mir-487a,0.445237179,0.000835756,0.022637192,-0.79622419,0.003363861,0.082865007,targetprofiler-NO,targetscan-NO,miRanda-Yes
XPO7,hsa-mir-3684,0.445962581,0.0008176,0.022253139,-0.799168921,0.003164971,0.081241526,targetprofiler-NO,targetscan-Yes,miRanda-NO
IPO5,hsa-mir-382,0.446266124,0.000810108,0.022094607,-0.809039453,0.002561505,0.075827814,targetprofiler-Yes,targetscan-Yes,miRanda-NO
JMY,hsa-mir-299,0.446401734,0.000806781,0.022022879,-0.8172455,0.002128814,0.071241773,targetprofiler-NO,targetscan-Yes,miRanda-NO
PKDCC,hsa-mir-625,0.446902468,0.000794603,0.021762147,-0.767251995,0.005848436,0.099781613,targetprofiler-NO,targetscan-Yes,miRanda-NO
PRKAA2,hsa-mir-487a,0.447084246,0.000790223,0.021671204,-0.769074711,0.005661275,0.098677866,targetprofiler-NO,targetscan-Yes,miRanda-NO
GNAZ,hsa-mir-299,0.447574668,0.000778515,0.021423102,-0.793682399,0.003542861,0.084310507,targetprofiler-NO,targetscan-Yes,miRanda-NO
HUWE1,hsa-mir-505,0.448122165,0.000765628,0.021147672,-0.814077684,0.002288805,0.073000897,targetprofiler-NO,targetscan-Yes,miRanda-Yes
CNBP,hsa-mir-629,0.448186372,0.00076413,0.021114461,-0.875987173,0.000406507,0.04038346,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF577,hsa-mir-29c,0.44837468,0.00075975,0.021020143,-0.801997214,0.002982294,0.079730328,targetprofiler-Yes,targetscan-NO,miRanda-Yes
MECP2,hsa-mir-410,0.448458403,0.00075781,0.020977626,-0.790924597,0.003744953,0.085884035,targetprofiler-NO,targetscan-Yes,miRanda-NO
SNAPC3,hsa-mir-186,0.448871598,0.0007483,0.020767354,-0.768918726,0.005677117,0.098776492,targetprofiler-NO,targetscan-Yes,miRanda-NO
ACCN2,hsa-mir-484,0.449046419,0.00074431,0.02068257,-0.854468663,0.000808509,0.051486954,targetprofiler-Yes,targetscan-NO,miRanda-NO
UCK1,hsa-mir-484,0.449225604,0.000740239,0.020594873,-0.809774988,0.002520259,0.07544431,targetprofiler-NO,targetscan-NO,miRanda-Yes
DYNC1I1,hsa-mir-381,0.450072725,0.000721265,0.020178122,-0.816376408,0.002171849,0.071704554,targetprofiler-Yes,targetscan-NO,miRanda-NO
ASB1,hsa-mir-382,0.450658026,0.000708412,0.019896238,-0.875097586,0.000419234,0.04080878,targetprofiler-NO,targetscan-Yes,miRanda-NO
RNF180,hsa-mir-495,0.450702593,0.000707442,0.019875571,-0.820083161,0.001992719,0.069713585,targetprofiler-NO,targetscan-Yes,miRanda-NO
C14orf118,hsa-mir-136,0.450846337,0.000704321,0.019807622,-0.775036022,0.005079828,0.095147751,targetprofiler-Yes,targetscan-NO,miRanda-NO
SLC2A13,hsa-mir-382,0.450891527,0.000703342,0.019786258,-0.824980789,0.001773245,0.067097678,targetprofiler-NO,targetscan-Yes,miRanda-NO
GNAQ,hsa-mir-653,0.451618275,0.000687772,0.019440291,-0.824427535,0.001797087,0.067387695,targetprofiler-NO,targetscan-NO,miRanda-Yes
PCDH7,hsa-mir-221,0.451972028,0.000680306,0.019274073,-0.87123237,0.000478074,0.042784031,targetprofiler-NO,targetscan-Yes,miRanda-NO
MECP2,hsa-mir-299,0.453374721,0.000651417,0.018630682,-0.837985606,0.001277911,0.060180906,targetprofiler-NO,targetscan-Yes,miRanda-NO
STXBP1,hsa-mir-25,0.453434238,0.000650216,0.018603732,-0.800958462,0.003048451,0.080258636,targetprofiler-NO,targetscan-Yes,miRanda-NO
RPP14,hsa-mir-345,0.454551258,0.000628043,0.018105186,-0.890553929,0.000236777,0.033119996,targetprofiler-NO,targetscan-Yes,miRanda-NO
OSBPL8,hsa-mir-627,0.454551434,0.00062804,0.018105134,-0.798871901,0.003184626,0.081411169,targetprofiler-NO,targetscan-Yes,miRanda-NO
ASXL3,hsa-mir-1180,0.454622809,0.000626647,0.018073615,-0.794907904,0.003455698,0.083602354,targetprofiler-NO,targetscan-Yes,miRanda-NO
C5orf24,hsa-mir-136,0.454911547,0.000621039,0.017949586,-0.803654317,0.002878971,0.078796529,targetprofiler-NO,targetscan-Yes,miRanda-NO
TMEM35,hsa-mir-382,0.455097558,0.00061745,0.017866921,-0.817038567,0.002139002,0.071354214,targetprofiler-Yes,targetscan-Yes,miRanda-NO
TYW3,hsa-mir-186,0.455307148,0.000613429,0.017775656,-0.799335585,0.003153982,0.081153744,targetprofiler-NO,targetscan-Yes,miRanda-NO
USP37,hsa-mir-939,0.455755117,0.000604913,0.017580822,-0.839728148,0.001220449,0.059245225,targetprofiler-NO,targetscan-Yes,miRanda-NO
TMEM35,hsa-mir-299,0.455894525,0.000602285,0.017520837,-0.808746605,0.002578065,0.075992499,targetprofiler-NO,targetscan-Yes,miRanda-NO
JMY,hsa-mir-382,0.456337354,0.000594005,0.017332491,-0.907020062,0.000116501,0.025047737,targetprofiler-NO,targetscan-Yes,miRanda-NO
MYSM1,hsa-mir-141,0.456574814,0.000589607,0.017233766,-0.824915774,0.001776035,0.067131767,targetprofiler-Yes,targetscan-Yes,miRanda-NO
ANO5,hsa-mir-130a,0.456692046,0.000587447,0.017182966,-0.786299588,0.004102864,0.088573148,targetprofiler-NO,targetscan-Yes,miRanda-NO
DDHD1,hsa-mir-590,0.457045072,0.000580985,0.017033934,-0.767390451,0.005834062,0.099700329,targetprofiler-NO,targetscan-Yes,miRanda-NO
APC,hsa-mir-136,0.457120829,0.000579606,0.017001161,-0.798617921,0.003201505,0.081547381,targetprofiler-NO,targetscan-Yes,miRanda-NO
RPP14,hsa-mir-410,0.457199916,0.000578171,0.01696839,-0.883853753,0.000306275,0.036423265,targetprofiler-NO,targetscan-Yes,miRanda-NO
ASB1,hsa-mir-136,0.457599894,0.000570958,0.01680152,-0.788968753,0.003893362,0.08704294,targetprofiler-NO,targetscan-Yes,miRanda-NO
CNOT4,hsa-mir-381,0.457653715,0.000569994,0.016779279,-0.770210615,0.005546889,0.097982446,targetprofiler-Yes,targetscan-NO,miRanda-NO
CCDC50,hsa-mir-199b,0.457726674,0.000568689,0.016749148,-0.822631945,0.001876116,0.068337886,targetprofiler-NO,targetscan-Yes,miRanda-NO
RPP14,hsa-mir-377,0.457999625,0.000563832,0.016638035,-0.856423347,0.000763031,0.050517539,targetprofiler-NO,targetscan-Yes,miRanda-NO
ASB1,hsa-mir-299,0.458444583,0.000555993,0.01645694,-0.804541794,0.002824743,0.07828512,targetprofiler-NO,targetscan-Yes,miRanda-NO
RPP14,hsa-mir-136,0.458464953,0.000555637,0.016448861,-0.894286021,0.000203682,0.031247399,targetprofiler-Yes,targetscan-NO,miRanda-NO
RPP14,hsa-mir-495,0.458911454,0.000547875,0.01626633,-0.868534009,0.000522712,0.044117011,targetprofiler-NO,targetscan-Yes,miRanda-NO
RUNX1T1,hsa-mir-299,0.459331756,0.000540658,0.016096181,-0.855275076,0.000789506,0.051077437,targetprofiler-NO,targetscan-Yes,miRanda-NO
SETD5,hsa-mir-505,0.459574962,0.000536522,0.015996954,-0.864121199,0.000602416,0.046453614,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
HINT3,hsa-mir-1301,0.459926176,0.000530598,0.015858319,-0.780651364,0.004573537,0.091873886,targetprofiler-NO,targetscan-Yes,miRanda-NO
REEP3,hsa-mir-30d,0.460131037,0.000527171,0.015778687,-0.795224409,0.003433448,0.083426576,targetprofiler-Yes,targetscan-NO,miRanda-NO
JMY,hsa-mir-136,0.460144962,0.000526938,0.015773019,-0.859468465,0.000696059,0.04884171,targetprofiler-NO,targetscan-Yes,miRanda-NO
MAPK4,hsa-mir-132,0.460164099,0.000526619,0.015765652,-0.770457398,0.005522264,0.097824615,targetprofiler-NO,targetscan-Yes,miRanda-NO
ATN1,hsa-mir-15b,0.46021108,0.000525837,0.015746886,-0.786975079,0.004049076,0.088173345,targetprofiler-NO,targetscan-NO,miRanda-Yes
OSBPL8,hsa-mir-222,0.460515851,0.000520786,0.01562721,-0.806688083,0.002696735,0.077098573,targetprofiler-Yes,targetscan-NO,miRanda-NO
CAMK1,hsa-mir-484,0.460852159,0.000515264,0.015498022,-0.880640196,0.000344636,0.038007473,targetprofiler-Yes,targetscan-NO,miRanda-NO
KLHL4,hsa-mir-155,0.461267516,0.000508516,0.015335495,-0.773782519,0.005198259,0.09589055,targetprofiler-Yes,targetscan-Yes,miRanda-NO
INPP4A,hsa-mir-584,0.46134744,0.000507227,0.015304726,-0.852394944,0.000858958,0.052580136,targetprofiler-NO,targetscan-Yes,miRanda-NO
DCHS1,hsa-mir-484,0.462008745,0.000496674,0.015054781,-0.815533306,0.002214214,0.07217786,targetprofiler-Yes,targetscan-NO,miRanda-Yes
PALM2,hsa-mir-766,0.462075643,0.000495617,0.015029324,-0.806086143,0.002732191,0.077436495,targetprofiler-NO,targetscan-Yes,miRanda-NO
RUNX1T1,hsa-mir-495,0.46278336,0.000484564,0.014767523,-0.773559772,0.005219515,0.096026417,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTX3,hsa-mir-381,0.462966965,0.000481734,0.014699318,-0.81299614,0.002345427,0.073624046,targetprofiler-Yes,targetscan-NO,miRanda-NO
RUNX1T1,hsa-mir-410,0.463124117,0.000479323,0.014640739,-0.777668844,0.004837565,0.093617359,targetprofiler-NO,targetscan-Yes,miRanda-NO
SPIRE1,hsa-mir-221,0.46431846,0.000461353,0.014208864,-0.817839462,0.00209977,0.070940108,targetprofiler-Yes,targetscan-NO,miRanda-NO
PLD6,hsa-mir-1266,0.464481373,0.000458949,0.014151087,-0.773371315,0.005237549,0.096119694,targetprofiler-Yes,targetscan-Yes,miRanda-NO
DYNC1I1,hsa-mir-299,0.464574588,0.000457579,0.014116662,-0.815834236,0.002199023,0.072009797,targetprofiler-NO,targetscan-Yes,miRanda-NO
FBXL7,hsa-mir-95,0.464683811,0.000455979,0.014077837,-0.774724866,0.005109039,0.095339344,targetprofiler-NO,targetscan-Yes,miRanda-NO
CAMTA1,hsa-mir-382,0.464909899,0.000452682,0.013997891,-0.9179887,6.73E-05,0.019775836,targetprofiler-NO,targetscan-Yes,miRanda-Yes
JMY,hsa-mir-410,0.465137632,0.000449382,0.013916809,-0.788295783,0.003945419,0.087411198,targetprofiler-NO,targetscan-Yes,miRanda-NO
MRPS10,hsa-mir-505,0.465200085,0.000448481,0.013894488,-0.816452643,0.002168048,0.071654029,targetprofiler-NO,targetscan-Yes,miRanda-NO
KCMF1,hsa-mir-1301,0.465357064,0.000446224,0.013840026,-0.81943222,0.002023347,0.070065278,targetprofiler-NO,targetscan-Yes,miRanda-NO
EIF5,hsa-mir-345,0.465683913,0.000441557,0.013726733,-0.841535688,0.001162916,0.058281757,targetprofiler-NO,targetscan-Yes,miRanda-NO
GLIS3,hsa-mir-186,0.465685977,0.000441527,0.013726209,-0.834920707,0.001383876,0.06180564,targetprofiler-NO,targetscan-Yes,miRanda-NO
TEAD1,hsa-mir-410,0.465844326,0.000439282,0.0136704,-0.787931178,0.003973837,0.087620756,targetprofiler-NO,targetscan-Yes,miRanda-NO
DYNC1I1,hsa-mir-410,0.466056998,0.000436283,0.013595184,-0.799044501,0.003173194,0.081322049,targetprofiler-NO,targetscan-Yes,miRanda-Yes
PBX3,hsa-mir-25,0.46606534,0.000436166,0.013592337,-0.808348308,0.002600717,0.076227018,targetprofiler-NO,targetscan-NO,miRanda-Yes
TRPC1,hsa-mir-653,0.46625275,0.000433539,0.013526979,-0.812447729,0.002374534,0.073925443,targetprofiler-NO,targetscan-NO,miRanda-Yes
MCPH1,hsa-mir-382,0.466567494,0.00042916,0.013420694,-0.825858193,0.001735922,0.066647149,targetprofiler-NO,targetscan-Yes,miRanda-NO
RRAGD,hsa-mir-381,0.467171162,0.000420873,0.013213731,-0.781278069,0.004519439,0.091500581,targetprofiler-Yes,targetscan-NO,miRanda-NO
JMY,hsa-mir-495,0.467559184,0.000415623,0.013083504,-0.77548481,0.005037914,0.094879467,targetprofiler-NO,targetscan-Yes,miRanda-NO
FAM124A,hsa-mir-410,0.468000609,0.000409722,0.012936352,-0.818244363,0.002080142,0.070731262,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZAK,hsa-let-7i,0.468099736,0.000408408,0.012903012,-0.838654072,0.001255633,0.059820313,targetprofiler-Yes,targetscan-NO,miRanda-NO
SPIRE1,hsa-mir-222,0.468119772,0.000408142,0.012896406,-0.827136429,0.001682603,0.065963328,targetprofiler-Yes,targetscan-NO,miRanda-NO
