#MicroRNA_ID	TCGA.BT.A0S7.01A	TCGA.BT.A0YX.01A	TCGA.BT.A2LA.01A	TCGA.BT.A2LB.01A	TCGA.BT.A20J.01A	TCGA.BT.A20N.01A	TCGA.BT.A20O.01A	TCGA.BT.A20P.01A	TCGA.BT.A20Q.01A	TCGA.BT.A20R.01A	TCGA.BT.A20T.01A	TCGA.BT.A20U.01A	TCGA.BT.A20V.01A	TCGA.BT.A20W.01A	TCGA.BT.A20X.01A	TCGA.C4.A0F0.01A	TCGA.C4.A0F6.01A	TCGA.CF.A1HR.01A	TCGA.CF.A1HS.01A	TCGA.CF.A27C.01A	TCGA.CU.A0YN.01A	TCGA.CU.A0YO.01A	TCGA.CU.A0YR.01A	TCGA.DK.A1A3.01A	TCGA.DK.A1A5.01A	TCGA.DK.A1A6.01A	TCGA.DK.A1A7.01A	TCGA.DK.A1AA.01A	TCGA.DK.A1AB.01A	TCGA.DK.A1AC.01A	TCGA.DK.A1AD.01A	TCGA.DK.A1AE.01A	TCGA.DK.A1AF.01A	TCGA.DK.A1AG.01A	TCGA.DK.A2HX.01A	TCGA.DK.A2I1.01A	TCGA.DK.A2I2.01A	TCGA.DK.A2I6.01A	TCGA.E5.A2PC.01A	TCGA.FD.A3B3.01A	TCGA.FD.A3B4.01A	TCGA.FT.A3EE.01A	TCGA.G2.A2EC.01A	TCGA.G2.A2EF.01A	TCGA.G2.A2EJ.01A	TCGA.G2.A2EK.01A	TCGA.G2.A2EL.01A	TCGA.G2.A2EO.01A	TCGA.G2.A2ES.01A	TCGA.GD.A2C5.01A	TCGA.H4.A2HO.01A	TCGA.H4.A2HQ.01A	TCGA.HQ.A2OE.01A
hsa-miR-339	172.569766	18.463973	72.816695	76.448384	54.232656	52.392963	29.857776	20.769471	21.445492	29.00455	11.321416	20.868424	50.993951	48.938235	43.985022	34.606948	191.105496	37.217499	57.984326	17.266508	26.692894	67.190587	43.48318	8.323838	36.536598	48.230434	80.640133	15.311827	15.16511	34.40566	43.374892	18.074823	24.591105	19.497581	28.114586	36.302167	95.104547	89.551428	62.830265	23.792391	25.294242	26.776685	118.110424	599.452253	37.411138	51.496267	2971.649652	83.059748	24.403017	19.969154	28.372337	108.776118	60.36522
hsa-miR-33a	26.91975	43.399853	113.887691	13.940065	34.806033	47.239557	8.450314	28.128733	6.145964	10.040037	16.133018	14.855488	56.618284	19.042911	47.546562	13.764127	85.324961	4.629928	15.771737	89.874388	25.318995	17.506232	103.071241	3.29082	20.90315	139.990877	23.520039	9.843318	9.433415	63.858991	16.682651	18.074823	7.001634	14.243742	6.541513	21.167125	38.383001	55.995375	61.272489	5.042952	6.27995	22.068696	13.12338	32.627014	23.240252	5.567164	159.567739	38.460275	60.426518	7.286989	25.974675	102.504019	60.890135
hsa-miR-33b	1.416829	8.56576	1.785696	1.154273	4.856656	3.006154	1.502278	1.308313	1.438417	1.630433	0.566071	8.135148	8.249021	2.252387	2.493078	0.589891	5.88448	0.178074	0.463875	3.763213	2.551527	0.583541	9.662929	0.193578	3.249649	31.676768	2.613338	1.367127	0.716462	5.473628	0.870399	1.782025	0.256157	1.050768	0.626315	2.961204	4.051539	2.470384	11.942943	0.517226	0.523329	1.765496	0.397678	3.041501	3.117595	0.260961	6.229371	1.805647	14.138256	0.560538	1.598442	2.50884	5.511607
hsa-miR-340	30.036774	22.651678	43.451924	12.874583	45.328788	30.920437	50.138529	26.002724	16.214884	66.075454	16.133018	20.868424	32.62113	33.785811	32.410016	26.938363	22.27696	17.807416	32.935097	14.167391	29.048149	29.260417	49.925132	23.810049	11.154202	35.559726	48.533414	16.95238	22.210318	17.463479	16.392518	22.657172	30.824267	12.725966	21.781845	13.709278	35.184418	46.9373	12.98146	21.206261	8.896595	15.889461	9.941955	33.180014	11.620126	24.617303	28.990535	17.695338	15.10663	13.733172	11.189091	17.203472	16.797279
hsa-miR-342	155.851185	118.397845	92.260935	72.541614	146.509117	87.178454	273.790169	26.329802	79.374472	120.652063	48.399053	60.483058	77.615793	129.409893	134.982374	255.422869	299.688165	93.667006	168.386482	15.274219	191.953309	207.990711	106.292217	56.911825	48.481254	148.778626	134.400222	41.013823	54.570513	142.835621	107.494296	52.697018	112.794615	49.853097	61.866008	44.418059	69.942357	92.845273	28.039953	82.885448	44.482977	43.548893	194.066959	399.819169	79.073542	131.350275	339.021548	83.420877	60.426518	24.033052	63.13844	46.951142	56.953273
hsa-miR-345	18.418776	18.273622	39.682122	11.098778	25.902164	14.171867	2.441202	11.284201	7.715146	20.509135	8.208026	4.598127	25.12202	13.104799	9.081928	11.404562	116.568748	6.944892	17.627235	14.388757	42.198325	10.753828	14.091771	2.903665	8.255866	39.647051	52.266753	4.238095	2.985258	79.237279	26.982374	8.146399	8.623964	6.771615	2.366079	19.631685	15.992917	6.175961	2.855921	6.853243	4.535519	13.241218	38.574785	67.742529	5.668354	4.784282	285.832301	14.986868	5.422893	11.420955	7.992208	33.152524	53.278868
hsa-miR-346	0.566732	0	0.595232	0	0	0	0.187785	0	0	0	0	0	0	0.204762	0	0	0	0	0	0	0.392543	0	0.402622	0	0.087828	0	0	0	0	0	0	0	0.170772	0	0	0	0	0.205865	0	0	0	0	0	0	0	0	1.197956	0	0	0	0	0.179203	0
hsa-miR-34a	111.504439	131.912711	120.236831	136.115415	233.119479	242.63954	127.881416	104.99213	162.018073	243.706871	108.968628	91.25514	172.104584	213.772038	98.476587	54.859877	242.66475	403.694113	73.756062	546.551391	80.274953	250.089032	405.843012	51.104496	111.805502	90.125514	360.640596	146.145924	82.393116	114.164237	85.008985	68.989816	218.587596	82.777156	538.004623	161.988824	128.796292	184.867085	116.573507	63.74809	64.020598	172.724328	119.303459	142.12106	70.004175	130.480405	127.941701	142.646089	237.638904	104.750472	222.782787	107.700901	183.457778
hsa-miR-34b	1.700195	3.045604	5.158676	0.621532	0.809443	1.288352	0.938924	1.96247	0.915356	0.600686	0.566071	1.414808	1.874778	0.204762	2.315001	1.376413	0.84064	0.890371	0.927749	0	2.944069	0.500178	0	0.387155	0.790455	0.204366	0.373334	1.093702	0.597052	1.563894	0.580266	23.420897	1.024629	0.467008	1.322221	0.219348	1.91915	0.411731	0.259629	0.646532	1.221101	2.353994	0.265119	2.765001	5.101519	0.260961	4.07305	1.444517	5.422893	0.140134	0.599416	1.433623	7.086352
hsa-miR-34c	10.7679	18.654323	38.88848	6.215316	8.094426	9.447911	14.459426	16.026836	18.307127	8.838665	9.057133	6.366638	24.372109	2.866675	14.068084	14.943909	7.425653	7.479115	16.699486	1.992289	14.131532	6.252226	1.610488	1.742199	7.026269	3.882959	17.92003	26.658985	6.925798	8.601415	3.481597	224.025971	8.623964	10.507678	14.614018	7.457847	22.603323	7.822883	4.673325	8.79284	11.164355	8.533229	2.651188	9.954004	31.459366	4.088386	17.010975	9.389363	41.833743	2.802688	10.38987	11.648184	75.850211
